B.cells,CD8.T.cells,Treg.cells,Th1.cells,Th2.cells,Tfh.cells,Tm.cells,CD56dim.NK.cells,CD56bright.NK.cells,Macrophages,Neutrophils,Mast.cells,Dendritic.cells
FCRL2,ZFP36L2,FOXP3,IL12RB2,CXCR6,PDCD1,TRAF3IP3,SH2D2A,DUSP4,COL8A2,CSF3R,TAL1,ADAMTSL4
FCRL1,CD8A,,CTLA4,ADCY1,CXCL13,CCR2,CD244,,CTSK,PDE4B,GATA2,NPR1
FAM177B,CD8B,,APOD,GATA3,ICA1,TXK,GNLY,,CD84,S100A12,CPA3,HSD11B1
IGKC,KLF9,,CD38,PTGIS,HEY1,INPP4B,B3GNT7,,CHI3L1,C1orf204,KIT,BCL2L11
MEF2C,ZEB1,,HBEGF,,MYO7A,FYB,NMUR1,,CHIT1,FCGR3B,HPGDS,LY75
HLA-DQA1,PRF1,,DGKI,,ST8SIA1,FLI1,COLQ,,MARCO,DYSF,MS4A2,RFTN1
BLK,TMC6,,SYNGR3,,TSHR,DOCK9,CX3CR1,,JAKMIP2,BCL6,CTSG,CISH
CD72,GZMM,,CCL4,,SIRPG,NFATC4,CHST2,,GPNMB,HPSE,HDC,CD80
BLNK,TSC22D3,,EGFL6,,,MEFV,PRF1,,CLEC5A,TLR2,TPSB2,CD86
MS4A1,,,,,,PRKY,ASCL2,,MSR1,LCP2,TPSAB1,LAMP3
IGHA1,,,,,,USP9Y,PDGFD,,MS4A4A,IFNGR1,ADCYAP1,ANTXR2
IGHG1,,,,,,TXLNGY,KLRB1,,LINC00900,TNFAIP3,SLC24A3,SYNPO2
IGHD,,,,,,,KLRF1,,KCNJ5,SLC25A37,,ST8SIA4
IGHM,,,,,,,KLRD1,,CD163,C9orf72,,IRF4
KIAA0125,,,,,,,TRDC,,EMP1,NAMPTP1,,SAMD9L
IGHV4-34,,,,,,,GZMB,,BCAT1,C10orf105,,ENPP2
TNFRSF17,,,,,,,PTGDR,,RGCC,ITPRIP,,PDCD1LG2
CD19,,,,,,,IL21R,,COLEC12,NLRP6,,NR4A3
GNG7,,,,,,,TBX21,,APOE,TNNT3,,WDFY4
,,,,,,,GNGT2,,CECR1,IRAK3,,TMPRSS13
,,,,,,,ABI3,,CYBB,TMCC3,,N4BP2L1
,,,,,,,CD7,,,IGF1,,TNFSF13B
,,,,,,,NKG7,,,RILPL2,,SYNGR3
,,,,,,,CST7,,,NFKBIA,,SYT17
,,,,,,,IL2RB,,,BCL2A1,,IL21R
,,,,,,,,,,CRISPLD2,,CCL22
,,,,,,,,,,FPR1,,CCL13
,,,,,,,,,,LILRB2,,TTYH2
,,,,,,,,,,CD93,,CD209
,,,,,,,,,,ETS2,,PTGIR
,,,,,,,,,,CYTH4,,CSF2RA
,,,,,,,,,,,,CHST7
,,,,,,,,,,,,CLIC2
