CD8.T.cells,CD4.T.cells,B.cells,Monocytes,Neutrophils,NK.cells,pDC,CD45.
Tm169Di<TCRb>,Tm169Di<TCRb>,Sm149Di<CD19>,Nd145Di<CD4>,Pr141Di<Ly-6G>,Er167Di<NKp46>,Ho165Di<CD317>,Sm147Di<CD45>
Sm152Di<CD3>,Sm152Di<CD3>,Yb176Di<B220>,Nd146Di<F4-80>,Sm154Di<CD11b>,Er170Di<CD49b>,Yb176Di<B220>,NA
Cd108Di<CD8>,Nd145Di<CD4>,NA,Dy162Di<Ly6C>,NA,NA,NA,NA
Cd110Di<CD8>,NA,NA,Nd144Di<CD115>,NA,NA,NA,NA
Cd111Di<CD8>,NA,NA,Sm154Di<CD11b>,NA,NA,NA,NA
Cd112Di<CD8>,NA,NA,NA,NA,NA,NA,NA
Cd113Di<CD8>,NA,NA,NA,NA,NA,NA,NA
Cd114Di<CD8>,NA,NA,NA,NA,NA,NA,NA
Cd116Di<CD8>,NA,NA,NA,NA,NA,NA,NA
Yb172Di<CD86>,NA,NA,NA,NA,NA,NA,NA
