Oligo,OPC,Macrophage.Microglia,SMC.Endothelia,VLMC,Astro.Bergmann,Ependyma,OEC
9530059O14Rik,6030443J06Rik,4933406I18Rik,9430020K01Rik,4930594M22Rik,2810055G20Rik,1700007G11Rik,0610040J01Rik
Ank3,Anks1b,Abi3,Abcb1a,Adam12,Aldh1l1,3300002A11Rik,Afap1l2
Arhgap23,Asic2,Apbb1ip,Abcc9,Adamts12,Aqp4,4930529M08Rik,Aff3
Cdk19,Brinp3,Arsb,Acvrl1,Aldh1a2,Arhgef26,9330101J02Rik,Apcdd1
Cldn14,Ccser1,Bank1,Apcdd1,Arhgap28,Arhgef4,A330021E22Rik,Aqp1
Cnksr3,Chst11,Ccr5,Atp13a5,Arhgap29,Bai3,Adamts20,Bnc2
Dnm3,Cntn1,Cd180,Bsg,Arhgap6,Bcl2,Agbl4,Btbd11
Dock10,Cntn4,Cd84,Ccdc141,Bicc1,Bmpr1b,Ak7,Cdh22
Elovl7,Csmd3,Csf1r,Cd93,Bmp6,Ctnnd2,Ak9,Cdh4
Eml1,Cspg4,Cx3cr1,Cldn5,Cfh,Dclk1,Armc4,Chst9
Enpp2,Dcc,Cyth4,Col4a1,Clmp,Dtna,Ccdc108,Cntn3
Ephb1,Dpp10,Dock2,Col4a2,Col13a1,Gabrb1,Ccdc146,Col23a1
Frmd5,Dpp6,Dock8,Cyyr1,Col18a1,Gm3764,Ccdc162,Col5a2
Gas7,Dscam,Emr1,Dlc1,Col1a1,Gpm6b,Ccdc170,Cpne8
Jakmip3,Dscaml1,Fcrls,Ebf1,Col1a2,Gria1,Ccdc30,Crtam
Klhl2,E130309F12Rik,Fgd2,Eltd1,Col3a1,Grid2,Cdhr3,D3Bwg0562e
Kndc1,Epn2,Fli1,Epas1,Col4a1,Grip1,Daw1,Dach1
Mag,Fam155a,Fyb,Ets1,Col4a6,Grm3,Dnah1,Efna5
Man1a,Fam19a2,Hexb,Flt1,Col5a1,Lrig1,Dnah11,Esyt3
Map7,Kcnd2,Hpgds,Fn1,Col5a2,Luzp2,Dnah12,F730043M19Rik
Mbp,Lrp1b,Ikzf1,Gm14005,Col6a1,Mcc,Dnah2,Foxo1
Mical3,Lrrc4c,Inpp5d,Gpr116,Col6a2,Meis1,Dnah3,Frzb
Mobp,Lrrtm3,Itgam,Hmcn1,Col6a3,Msi2,Dnah5,Fstl4
Mog,Lrrtm4,Laptm5,Igfbp7,Colec12,Ncan,Dnah6,Gdpd4
Myo1d,March1,Lcp2,Itga1,Cp,Nfia,Dnah9,Greb1l
Nfasc,Megf11,Lgmn,Itga4,Cped1,Nfib,E230008N13Rik,Gria1
Nkain2,Mmp16,Ly86,Kdr,Dcn,Npas3,Efhb,Gria4
Pde4b,Myt1,Lyn,Lama4,Ddr2,Nrcam,Fbxl13,Grid2
Pex5l,Nav3,Mef2c,Lef1,Eya2,Nrxn1,Gm872,Grin3a
Plp1,Ncald,Myo1f,Ly75,Flrt2,Ntm,Hydin,Gsap
Ppp1r16b,Neto1,Nckap1l,Mecom,Frmpd4,Palld,Kif6,Igf1
Prima1,Nlgn1,P2ry12,Myh9,Fstl1,Pard3b,Lrrc36,Irf6
Prr5l,Nrg3,P2ry6,Myo10,Gpc3,Pax3,Lrriq1,KCTD12
Ptprd,Nxph1,Pde3b,Myo1b,Igf2,Pbx1,Maats1,Lrrc1
Rffl,Opcml,Pik3ap1,Pecam1,Itih5,Ppap2b,Rgs22,Ltbp1
Rnf220,Pcdh11x,Plxdc2,Ptprb,Lama1,Ptprz1,Rsph10b,Macrod2
Sec14l5,Pcdh15,Ptprc,Rapgef5,Lama2,Rfx4,Shank2,Mybpc1
Sept7,Pdgfra,Rapgef5,Rasgrp3,Lamc3,Rgma,Spag16,Nell2
Sh3gl3,Ppp2r2b,Rbm47,Rgs5,Lepr,Rorb,Spag17,Nkd2
Slc24a2,Pstpip2,Rgs10,Slc16a1,Mageb18,Sema6d,Spag6,Npy
St18,Rev3l,Rhoh,Slc38a11,Ranbp3l,Sfxn5,Spata17,Pax3
St6galnac3,Rims1,Runx1,Slc7a1,Rbms1,Shisa9,Spef2,Prex2
Sytl2,Sgcd,Siglech,Slc7a5,Sidt1,Slc1a2,Tmem212,Prss56
Tmeff2,Sgcz,Sirpa,Slco1a4,Slc6a13,Slc1a3,Ttc21a,Ptprm
Tmem163,Sntg1,Slc8a1,Sparc,Slc6a20a,Slc4a4,Ttc29,Ralgps2
Tspan2,Sorcs3,Slco2b1,Spock2,Slc7a11,Slc6a11,Vwa3a,Sel1l2
Ugt8a,Sox2ot,Tbxas1,St8sia4,Svil,Sparcl1,Wdr52,Slc1a3
Unc5c,Sox6,Vav1,Tek,Tbx18,Tnc,Wdr63,Sntb1
Ypel2,Tmem132d,Wdfy4,Tfrc,Tgfbr3,Trim9,Wdr96,Syk
Zfp536,Xylt1,Zfp710,Zfp366,Vamp5,Trps1,Zbbx,Zpld1
